url,title_text,price_lkr,brand,model,year,mileage_km,fuel_type,engine_capacity_cc,transmission,location
https://ikman.lk/en/ad/toyota-axio-hybrid-g-2015-for-sale-colombo-173,Toyota Axio Hybrid G 2015 for Sale in Kohuwala | ikman,9850000,Toyota,Axio,2015,231000,Hybrid,1500,Automatic,Colombo
https://ikman.lk/en/ad/nissan-sunny-fb14-1998-for-sale-kandy-7,Nissan Sunny FB14 1998 for Sale in Kandy City | ikman,3650000,Nissan,Sunny,1998,140000,Petrol,650,Automatic,Kandy
https://ikman.lk/en/ad/land-rover-range-autobiography-lwb-2025-for-sale-colombo-20,Land Rover Range Autobiography LWB 2025 for Sale in Colombo 7 | ikman,153000000,Land Rover,Range Rover,2025,0,Hybrid,3000,Automatic,Colombo
https://ikman.lk/en/ad/toyota-raize-z-grade-2020-for-sale-puttalam,Toyota Raize Z Grade 2020 for Sale in Nattandiya | ikman,10700000,Toyota,Raize,2020,75000,Petrol,1000,Automatic,
https://ikman.lk/en/ad/toyota-yaris-ativ-premium-luxury-2025-for-sale-gampaha-23,Toyota Yaris Ativ Premium Luxury 2025 for Sale in Negombo | ikman,16800000,Toyota,Yaris Ativ,2025,0,Petrol,1200,Automatic,Gampaha
https://ikman.lk/en/ad/nissan-serena-vx-auto-1995-for-sale-colombo-9,Nissan Serena Vx Auto 1995 for Sale in Piliyandala | ikman,3075000,Nissan,Serena,1995,131999,Diesel,2000,Automatic,Colombo
https://ikman.lk/en/ad/toyota-premio-2013-for-sale-matale-6,Toyota Premio 2013 for Sale in Matale City | ikman,11200000,Toyota,Premio,2013,118000,Petrol,1500,Automatic,Matale
https://ikman.lk/en/ad/toyota-rav4-z-new-trim-2026-for-sale-colombo-1,Toyota RAV4 Z new trim 2026 for Sale in Athurugiriya | ikman,45000000,Toyota,RAV4,2026,0,Hybrid,2500,Automatic,Colombo
https://ikman.lk/en/ad/toyota-corolla-axio-27000-km-2017-for-sale-gampaha-1,Toyota Corolla AXIO -27000 km 2017 for Sale in Negombo | ikman,11600000,Toyota,Corolla,2017,27000,Petrol,1300,Automatic,Gampaha
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-lc300-zx-diesel-2023-for-sale-gampaha-10,Toyota Land Cruiser Sahara LC300 ZX DIESEL- 2023 for Sale in Gampaha City | ikman,105000000,Toyota,Land Cruiser Sahara,2023,95,Diesel,3340,Automatic,Gampaha
https://ikman.lk/en/ad/toyota-rav4-z-new-trim-2026-for-sale-colombo,Toyota RAV4 Z new trim 2026 for Sale in Athurugiriya | ikman,45000000,Toyota,RAV4,2026,0,Hybrid,2500,Automatic,
https://ikman.lk/en/ad/mercedes-benz-s300-lwheel-diesel-hybrid-2017-for-sale-gampaha-4,Mercedes Benz S300 LWHEEL DIESEL HYBRID 2017 for Sale in Gampaha City | ikman,65000000,Mercedes Benz,S300,2017,49800,Hybrid,2140,Automatic,Gampaha
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-vx-v8-diesel-black-2015-for-sale-gampaha-36,Toyota Land Cruiser Sahara VX-V8 DIESEL BLACK 2015 for Sale in Gampaha City | ikman,76000000,Toyota,Land Cruiser Sahara,2015,105000,Diesel,4461,Automatic,Gampaha
https://ikman.lk/en/ad/mitsubishi-montero-sport-2011-for-sale-gampaha-196,Mitsubishi Montero SPORT 2011 for Sale in Gampaha City | ikman,12850000,Mitsubishi,Montero,2011,147700,Diesel,2500,Automatic,Gampaha
