iter	RMSE
0	22.92319642
1	22.55503019
2	22.21328595
3	21.91783162
4	21.5718017
5	21.22147415
6	20.89311728
7	20.56260398
8	20.19647574
9	19.92029546
10	19.62748451
11	19.34554931
12	19.05320546
13	18.74874751
14	18.48674412
15	18.20324216
16	17.91359594
17	17.69965935
18	17.43168656
19	17.17197147
20	16.97233435
21	16.77007012
22	16.58889094
23	16.37914294
24	16.15222289
25	15.93742102
26	15.73549401
27	15.51863969
28	15.31651846
29	15.13797584
30	14.96574141
31	14.77608184
32	14.56802698
33	14.39353808
34	14.20989502
35	14.04563762
36	13.87772471
37	13.69867843
38	13.5141845
39	13.38913099
40	13.23140422
41	13.08544002
42	12.94509633
43	12.81366455
44	12.67639866
45	12.5395712
46	12.42152444
47	12.26796402
48	12.15346322
49	12.02655931
50	11.88742717
51	11.74209806
52	11.60085415
53	11.47159799
54	11.36907452
55	11.25027979
56	11.12170309
57	11.01531303
58	10.89579964
59	10.79297005
60	10.69005281
61	10.56320034
62	10.46770649
63	10.37966906
64	10.2936165
65	10.20577409
66	10.1177741
67	10.04744032
68	9.943154713
69	9.844836255
70	9.748665987
71	9.634316408
72	9.56233627
73	9.466177944
74	9.380978865
75	9.278683299
76	9.197095128
77	9.099168396
78	9.027921257
79	8.957331091
80	8.880579113
81	8.799641886
82	8.72543531
83	8.65968212
84	8.581652074
85	8.513371242
86	8.433213739
87	8.358408832
88	8.290300494
89	8.232345882
90	8.182915737
91	8.112549878
92	8.056539863
93	8.032646655
94	7.955331218
95	7.881299281
96	7.813059363
97	7.761348024
98	7.699783412
99	7.647031494
100	7.57335211
101	7.508358286
102	7.4442316
103	7.387045127
104	7.325994906
105	7.284879364
106	7.250021521
107	7.213316344
108	7.17092386
109	7.124795591
110	7.080219888
111	7.038160944
112	6.999654554
113	6.946509848
114	6.890912087
115	6.840263539
116	6.804344206
117	6.742142615
118	6.694158472
119	6.653364607
120	6.615049438
121	6.571716419
122	6.526933102
123	6.460130245
124	6.427653148
125	6.405661667
126	6.346569525
127	6.315191437
128	6.253404662
129	6.218219309
130	6.189090892
131	6.162538804
132	6.128347119
133	6.09262214
134	6.05146491
135	6.007350962
136	5.971371113
137	5.939350491
138	5.914850466
139	5.870481516
140	5.822977581
141	5.792695718
142	5.774775932
143	5.748175384
144	5.718119812
145	5.709480605
146	5.651548486
147	5.611820183
148	5.574719859
149	5.549638316
150	5.542523922
151	5.531065262
152	5.507437943
153	5.480098659
154	5.453779487
155	5.434675469
156	5.407602345
157	5.375532397
158	5.344564211
159	5.316328646
160	5.277899122
161	5.237010281
162	5.220090027
163	5.193450984
164	5.156073711
165	5.133132909
166	5.111807276
167	5.091752592
168	5.078443454
169	5.063617361
170	5.042698365
171	5.018745829
172	4.98969897
173	4.959953963
174	4.93254782
175	4.912771886
176	4.895936212
177	4.874431086
178	4.851545518
179	4.832801512
180	4.819816371
181	4.785557392
182	4.756457974
183	4.727910471
184	4.715800371
185	4.695157896
186	4.661765191
187	4.643436531
188	4.631308055
189	4.611742816
190	4.597727514
191	4.585145783
192	4.563650561
193	4.539230688
194	4.530494357
195	4.506961917
196	4.474551992
197	4.456597669
198	4.424744055
199	4.403166713
200	4.388653512
201	4.368216226
202	4.358166286
203	4.346065844
204	4.327866063
205	4.310337604
206	4.298948264
207	4.283259159
208	4.263619939
209	4.243037625
210	4.228387728
211	4.200030429
212	4.188991912
213	4.16373812
214	4.146089656
215	4.124921254
216	4.104547284
217	4.090743779
218	4.071873785
219	4.061433625
220	4.053015645
221	4.040138699
222	4.026908248
223	4.008794151
224	3.997796598
225	3.989216491
226	3.979127155
227	3.970415455
228	3.959163855
229	3.94425517
230	3.923591112
231	3.906244455
232	3.900174162
233	3.884188629
234	3.877888789
235	3.871090774
236	3.858393992
237	3.841900421
238	3.823674799
239	3.814939008
240	3.807322959
241	3.784245776
242	3.767275025
243	3.75640696
244	3.747707796
245	3.739914681
246	3.72267705
247	3.712769113
248	3.700948486
249	3.696706623
250	3.690998625
251	3.685569375
252	3.679106971
253	3.669983786
254	3.660442004
255	3.648191995
256	3.633490842
257	3.627295185
258	3.616314926
259	3.603717747
260	3.589012756
261	3.575330019
262	3.565532438
263	3.553629331
264	3.546912088
265	3.540862736
266	3.535193696
267	3.526332599
268	3.517213987
269	3.505154164
270	3.50099289
271	3.49127383
272	3.479914306
273	3.46422247
274	3.453701161
275	3.441934103
276	3.435069833
277	3.424757081
278	3.416464582
279	3.405754338
280	3.398659986
281	3.389787673
282	3.381780886
283	3.377173474
284	3.364224416
285	3.355869679
286	3.344293202
287	3.340803802
288	3.333598062
289	3.325000092
290	3.315757425
291	3.307966616
292	3.301217129
293	3.295834718
294	3.287818443
295	3.276219779
296	3.268384609
297	3.261852682
298	3.251673179
299	3.237892586
