iter	Passed	Remaining
0	201	60325
1	253	37788
2	309	30670
3	365	27019
4	421	24853
5	474	23246
6	530	22191
7	579	21156
8	618	19996
9	687	19937
10	729	19167
11	781	18760
12	839	18532
13	891	18214
14	940	17871
15	988	17547
16	1039	17299
17	1091	17094
18	1151	17028
19	1210	16940
20	1268	16853
21	1325	16755
22	1380	16625
23	1435	16503
24	1494	16437
25	1547	16303
26	1603	16212
27	1658	16115
28	1707	15956
29	1758	15823
30	1815	15749
31	1879	15739
32	1931	15626
33	1994	15600
34	2056	15567
35	2107	15457
36	2161	15363
37	2211	15248
38	2266	15165
39	2323	15102
40	2387	15078
41	2443	15007
42	2500	14945
43	2556	14873
44	2611	14798
45	2652	14644
46	2700	14534
47	2751	14447
48	2802	14357
49	2852	14262
50	2973	14515
51	3047	14535
52	3099	14445
53	3151	14357
54	3207	14286
55	3261	14209
56	3316	14140
57	3368	14055
58	3411	13937
59	3464	13857
60	3522	13800
61	3571	13709
62	3629	13654
63	3684	13587
64	3738	13516
65	3790	13440
66	3831	13323
67	3888	13267
68	3946	13212
69	4001	13148
70	4054	13077
71	4112	13021
72	4178	12992
73	4230	12921
74	4280	12841
75	4331	12767
76	4381	12688
77	4431	12613
78	4487	12554
79	4541	12488
80	4595	12424
81	4649	12361
82	4680	12236
83	4731	12165
84	4784	12102
85	4847	12063
86	4910	12022
87	4961	11953
88	5014	11888
89	5064	11816
90	5114	11747
91	5168	11684
92	5255	11697
93	5285	11584
94	5334	11510
95	5381	11434
96	5436	11377
97	5486	11308
98	5546	11260
99	5574	11149
100	5628	11090
101	5680	11027
102	5736	10972
103	5793	10917
104	5840	10846
105	5866	10737
106	5922	10683
107	5949	10577
108	6004	10521
109	6052	10455
110	6103	10392
111	6162	10344
112	6220	10293
113	6277	10242
114	6337	10194
115	6396	10146
116	6449	10087
117	6502	10029
118	6554	9969
119	6606	9910
120	6663	9858
121	6717	9801
122	6772	9746
123	6819	9679
124	6873	9623
125	6933	9574
126	6996	9530
127	7022	9436
128	7078	9383
129	7131	9325
130	7186	9270
131	7240	9215
132	7294	9159
133	7347	9102
134	7408	9054
135	7488	9030
136	7540	8971
137	7588	8907
138	7640	8849
139	7691	8790
140	7752	8741
141	7809	8688
142	7866	8636
143	7917	8577
144	7970	8520
145	7993	8432
146	8053	8382
147	8111	8330
148	8172	8282
149	8236	8236
150	8270	8161
151	8324	8105
152	8397	8068
153	8488	8047
154	8546	7994
155	8616	7953
156	8680	7906
157	8745	7859
158	8807	7810
159	8861	7754
160	8931	7710
161	8996	7663
162	9060	7615
163	9159	7595
164	9235	7555
165	9297	7505
166	9356	7451
167	9414	7396
168	9468	7339
169	9537	7293
170	9604	7245
171	9665	7192
172	9729	7142
173	9782	7084
174	9836	7026
175	9912	6983
176	10002	6951
177	10097	6920
178	10171	6875
179	10230	6820
180	10264	6748
181	10343	6706
182	10422	6663
183	10485	6610
184	10543	6553
185	10622	6510
186	10702	6467
187	10772	6417
188	10834	6363
189	10890	6304
190	10962	6256
191	11043	6212
192	11120	6165
193	11215	6128
194	11287	6077
195	11369	6032
196	11444	5983
197	11522	5935
198	11608	5891
199	11687	5843
200	11748	5786
201	11812	5730
202	11868	5670
203	11942	5619
204	12019	5570
205	12077	5510
206	12132	5450
207	12184	5389
208	12240	5329
209	12294	5269
210	12345	5207
211	12402	5148
212	12453	5086
213	12514	5029
214	12567	4968
215	12621	4908
216	12673	4847
217	12735	4790
218	12791	4731
219	12855	4674
220	12906	4613
221	12959	4553
222	13008	4491
223	13057	4430
224	13107	4369
225	13159	4308
226	13210	4248
227	13268	4190
228	13320	4130
229	13373	4070
230	13422	4009
231	13472	3948
232	13524	3888
233	13574	3828
234	13628	3769
235	13682	3710
236	13733	3650
237	13781	3590
238	13838	3531
239	13892	3473
240	13944	3413
241	13997	3354
242	14053	3296
243	14109	3238
244	14185	3184
245	14271	3132
246	14338	3076
247	14417	3022
248	14479	2965
249	14555	2911
250	14622	2854
251	14696	2799
252	14761	2742
253	14828	2685
254	14969	2641
255	15036	2584
256	15096	2525
257	15146	2465
258	15196	2405
259	15249	2346
260	15300	2286
261	15361	2228
262	15421	2169
263	15476	2110
264	15531	2051
265	15587	1992
266	15639	1933
267	15690	1873
268	15739	1813
269	15789	1754
270	15839	1694
271	15893	1636
272	15960	1578
273	16018	1520
274	16069	1460
275	16143	1403
276	16215	1346
277	16293	1289
278	16381	1233
279	16463	1175
280	16552	1119
281	16638	1062
282	16722	1004
283	16786	945
284	16856	887
285	16925	828
286	16982	769
287	17042	710
288	17115	651
289	17174	592
290	17248	533
291	17327	474
292	17402	415
293	17462	356
294	17514	296
295	17579	237
296	17648	178
297	17716	118
298	17780	59
299	17830	0
